Istasyon,Tarih,PM10,SO2,CO,NO2,NOX,NO,O3
Meydan,6/7/2019,11.1002535,,33.190040909091,48.744324363636,15.554282545455
Meydan,6/8/2019,9.309123125,,,,
Meydan,6/9/2019,5.8174962083333,9.5193822083333,,,
Meydan,6/10/2019,5.518711875,8.4281431666667,22.338856894737,36.097348631579,13.758490842105
Meydan,6/11/2019,,,19.999759,40.691891,20.692131166667
Meydan,6/12/2019,24.37994,7.10460365,29.608136086957,48.677618521739,19.06948226087
Meydan,6/13/2019,23.314920666667,10.160339458333,28.455482666667,39.669700791667,11.214217666667
Meydan,6/14/2019,29.709170833333,9.0460940833333,31.938634166667,42.264583333333,10.325948458333
Meydan,6/15/2019,30.192058333333,8.1395445416667,28.125704,36.928968083333,8.803264375
Meydan,6/16/2019,21.047302083333,8.5472707916667,23.564374333333,30.286968333333,6.722595
Meydan,6/17/2019,17.728720166667,15.052822434783,22.752627083333,35.041447125,12.2888205
Meydan,6/18/2019,23.833749333333,7.9107054583333,26.081047833333,39.464424583333,13.383376291667
Meydan,6/19/2019,13.674608083333,7.4005977083333,18.590555083333,22.674709333333,4.0841549166667
Meydan,6/20/2019,18.780433458333,10.082393125,34.289040291667,44.683366958333,10.394326625
Meydan,6/21/2019,13.905488625,15.124269217391,25.290406666667,30.870345416667,5.579937875
Meydan,6/22/2019,18.050867041667,11.155561375,27.686215,36.113122125,8.4269081666667
Meydan,6/23/2019,20.514167375,9.3891589583333,20.806409416667,25.360003375,4.5535935
Meydan,6/24/2019,18.797920791667,9.2916499583333,31.57946,40.048285958333,8.4688252083333
Meydan,6/25/2019,17.270627583333,8.7129232083333,25.607269583333,34.037256333333,8.429987625
Meydan,6/26/2019,21.579907625,3.51184175,20.669757611111,34.559886444444,13.890127055556
Meydan,6/27/2019,29.094097833333,3.3150720833333,,,
Meydan,6/28/2019,29.814365416667,6.8664757083333,,,
Meydan,6/29/2019,23.776824583333,8.2569644166667,,,
Meydan,6/30/2019,17.543500916667,8.8120054166667,18.18544,31.134410708333,12.948969541667
Meydan,7/1/2019,11.810923875,,22.384530416667,41.470443375,19.08591375
Meydan,7/2/2019,32.556817708333,,30.335525416667,43.848342791667,13.5128165
Meydan,7/3/2019,17.7800345,,24.666631666667,41.161907666667,16.495278
Meydan,7/4/2019,15.182654625,,22.140185416667,34.282952916667,12.142769125
Meydan,7/5/2019,21.032062083333,,20.36323375,38.266443916667,17.903209583333
Meydan,7/6/2019,22.31609,,23.943329583333,36.654989833333,12.711660416667
Meydan,7/7/2019,17.132048583333,,24.63326,29.79791975,5.1646584583333
Meydan,7/8/2019,24.726121666667,,24.79725375,30.566872041667,5.769618625
Meydan,7/9/2019,21.373591583333,,25.32852875,35.556398,10.227868916667
Meydan,7/10/2019,12.981107708333,,28.03563375,35.709668458333,7.6740345833333
Meydan,7/11/2019,18.084692409091,,26.85625,34.498411772727,7.6421621818182
Meydan,7/12/2019,,,,,
Meydan,7/13/2019,14.56859975,48.939344041667,40.112684583333,52.409415875,12.296730625
Meydan,7/14/2019,,,,,
Meydan,7/15/2019,16.0061112,19.996668368421,43.565768,69.02450085,25.45873245
Meydan,7/16/2019,16.884831375,30.491996666667,37.11572125,60.962953666667,23.8472325
Meydan,7/17/2019,25.051458541667,19.96995125,41.649424166667,57.6754945,16.026069791667
Meydan,7/18/2019,12.677975291667,19.212896666667,33.73133125,45.367132625,11.635800625
Meydan,7/19/2019,18.04595225,18.594250869565,35.480354583333,51.790948208333,16.310593541667
Meydan,7/20/2019,19.143276416667,18.848131666667,34.876505833333,45.774649666667,10.898144708333
Meydan,7/21/2019,12.144026833333,18.95849375,30.575557916667,37.271380083333,6.695822375
Meydan,7/22/2019,11.412323958333,19.008379166667,32.816054166667,57.206415625,24.390362125
Meydan,7/23/2019,11.825613041667,21.610521304348,34.6194775,47.951506666667,13.332027541667
Meydan,7/24/2019,10.076714291667,21.5269375,34.815839583333,53.484728875,18.66888875
Meydan,7/25/2019,9.9688072916667,21.779587916667,33.036837916667,57.518564375,24.481725833333
Meydan,7/26/2019,7.476914,,38.420151578947,58.667548947368,20.247397684211
Meydan,7/27/2019,11.383201047619,,52.328855909091,78.019991954545,25.691136227273
Meydan,7/28/2019,8.0875302916667,,71.04091,111.58263516667,40.541725
Meydan,7/29/2019,11.8801995,,56.731576190476,77.141722238095,20.410145571429
Meydan,7/30/2019,9.5140089166667,49.312552708333,,,
Meydan,7/31/2019,11.923574541667,16.0007805,43.066389863636,52.475963227273,9.4095739090909
Meydan,8/1/2019,8.22769595,25.021267,29.03789,41.3975683,12.3596786
Meydan,8/2/2019,,,,,
Meydan,8/3/2019,7.6850585,8.9599526086957,37.968234285714,64.506255142857,26.538021380952
Meydan,8/4/2019,6.9778694166667,0.11787831818182,33.849440833333,45.146612958333,11.297172083333
Meydan,8/5/2019,5.990014,,43.59916125,64.380560375,20.78139875
Meydan,8/6/2019,5.1215260833333,0.17660979166667,53.77734125,75.631371416667,21.854030833333
Meydan,8/7/2019,9.41513475,0.17299660869565,51.98483625,67.158861083333,15.174024791667
Meydan,8/8/2019,6.4777911666667,,50.246975416667,67.093511375,16.84653675
Meydan,8/9/2019,8.966216375,,52.853135416667,77.463317125,24.610182291667
Meydan,8/10/2019,7.172801625,4.438716875,43.522980833333,71.128615083333,27.605633333333
Meydan,8/11/2019,8.8136964583333,6.6473402083333,48.816681666667,74.699303708333,25.882621833333
